cartodb_id,the_geom,intended_outcomes_other,participation_tasks_other,types_volunteers,status_other,project_topic_other,participant_age_other,gov_contact_email,gov_contact_affiliation,gov_contact,agency_partner_other,recruiting,agency_partner_name,cartodb_georef_status,agency_sponsor_other,scistarter,agency_sponsor,agency_partner,intended_outcomes,participant_age,cartodb_id_0,project_topic,approved,updated_at,created_at,phone,email,zip,state,city,street_address_2,street_address,affiliation,project_contact,participation_tasks,geographic_scope,start_date,status,keywords,project_description,project_url,project_name
75,0101000020E6100000357BA015181653C0D690B8C7D2834240,n/a,,"All individuals are welcome
",,,,"amy.p.kaminski@nasa.gov
",nasa,Amy Kaminski,,true,,true,,true,nasa,,"io_education, research_advancement","elementary_school_children, families, general_public, middle_school_children, seniors, teens",186,climate_weather,true,2015-09-14 17:01:51.038079+00,2015-08-18 20:58:12.006834+00,757-864-4371,scool@lists.nasa.gov,23681,VA,Hampton,NASA Langley Research Center,21 Langley Blvd.,"NASA Langley Research Center
",Lin Chambers,"classification_tagging, data_analysis, data_entry, identification, learning, measurement, observation, photography",Global,1997-01-13,active,"cloud observation, satellite comparison, cloud science, ground truth, NASA
","The S'COOL Project involves people (ages 5-99) in real science, taking and reporting ground truth observations of clouds to assist in the validation of NASA's Clouds and the Earth's Radiant Energy System (CERES) instruments.   CERES  is an important tool for scientists who study how atmospheric moisture affects our weather and climate. The observations made by S'COOL help to provide another piece of the puzzle. The project, which began in 1997, is coordinated with a trio of low Earth orbit satellites that carry  CERES instruments. S'COOL was developed from the beginning in coordination with teachers who sought a safe, simple and cheap way to unite students with NASA.  In 2008 technology advances enabled S'COOL to accept observations from citizen scientists anywhere in the world.  Beginning in 2016, S'COOL is integrated with GLOBE cloud observations.
",http://scool.larc.nasa.gov,Students' Cloud observations On-Line
152,0101000020E6100000A03715A930885DC0E12879758E114140,,Volunteers can participate by using their personal computer as a seismologic instrument via a USB plug-in or by using the accelerometer in a laptop or smart phone. Data is then analyzed by software during and after an event before being uploaded on a central server.,We are particularly interesed in volunteers in education (formal and informal). Volunteers will need to request a sensor or have a supported laptop or smartphone with an internal sensor.,,,,sophialiu@usgs.gov,usgs,Sophia B Liu,,true,"California Institute of Technology (Caltech), Universidad de los Andes, Universidad Nacional Autonoma de Mexico, Universidad de Concepcion",,"Southern California Earthquake Center (NSF/USGS Funded organization), Incorporated Research Institutions for Seismology (NSF funded)",true,"usgs, nsf","college_university, formal_nonprofit_ngo","operational_integration_use, research_advancement",general_public,,"computers_technology, disaster_response, geology_earth_science",,,,626-583-7238,ecochran@usgs.gov,91106,CA,Pasadena,,535 S. Wilson Street,USGS,Elizabeth Cochran,"download_sw, measurement, Other",International,2008,active,"earthquakes, seismograms, mobile data","The QCN is a project that enables seismologic recordings by tapping into the vast network of computing of personal computers, laptops, and smart phones. Volunteers can connect small USB seismic sensors to their computers or use sensors internal to laptos or smart phones to record earthquakes. Data is then collected by a software application that sends seismograms back to a central server. The volunteers can then log in and see what earthquakes they have recorded through the project website.",http://qcn.caltech.edu,Quake Catcher Network
10,0101000020E6100000A1B94E232DD153C03AE97DE36BEB4440,,,,,,,Samuel.crowell@osec.usda.gov,doa,Samuel Crowell,"doa
",true,,,,false,"usfs, doa","college_university, community_group, formal_nonprofit_ngo","community_engagement_outreach, io_education, operational_integration_use, research_advancement","elementary_school_children, families, general_public, middle_school_children, seniors, teens",229,birds,,2015-09-30 14:16:14.623556+00,2015-09-29 14:41:46.632833+00,814-563-1040,sstoleson@fs.fed.us,16329,PA,Irvine,,335 National Forge Road,USFS Northern Research Station,Scott Stoleson,"data_analysis, data_entry, identification, learning, measurement, observation, photography",Regional,2004-07-15,active,"clearcut, early-successional habitat, habitat choice, mature-forest birds, postbreeding period","Populations of many migratory birds that require large tracts of mature forest to nest are declining across the eastern states, despite the fact that our forests are maturing and in many states are stable or increasing in area. Birds provide vital ecological functions in forests, including pest control and seed dispersal, so continued declines in bird populations may negatively affect forest health and regeneration. Reversing these declines requires an understanding of the habitat needs of forest birds throughout their life cycle. This research focuses specifically on the 1-2 month period between nesting and migration, a period of the life cycle which isn't well studied. 

This is a formal study which involves a dedicated group of citizen scientists. there is also an associated outreach and education program, which is held through the Jamestown, NY Audubon Society for five Saturdays every spring, beginning the last Saturday in April. I am combining these two projects for the purpose of this database. The larger outreach and education project allows more informal opportunities for citizen science, and data collected through that effort is still entered in the (North American) Bird Point Count Database for scientific use.",http://www.nrs.fs.fed.us/sustaining_forests/conserve_enhance/wildlife_fish/bird_habitat_improvement/,Use of early-successional forests by birds during the post-fledging period
120,0101000020E6100000D734EF38457F56C0A1D634EF38654340,,,anyone,,,,amy.p.kaminski@nasa.gov,nasa,Amy Kaminski,,true,Southern Illinois University,,,true,nasa,college_university,"io_education, research_advancement","elementary_school_children, general_public, middle_school_children, teens",,astronomy_space,,,,,starstryder@gmail.com,62026,IL,Edwardsville,,1 Hairpin Dr,Southern Illinois University Edwardsville,Pamela Gay,"classification_tagging, learning",world,2012-01-01,active,"Moon, Planets, Planetary Science, Geology, Astronomy, Space Exploration",Help NASA identify craters and other terrain on Mars,http://cosmoquest.org/?application=mars_simply_craters,Mars Mappers
151,0101000020E61000000000000000C059C00000000000004740,,,,,,,Peter_Budde@nps.gov,nps,Pete Budde,,true,National Geographic Society,,,true,nps,formal_nonprofit_ngo,"community_engagement_outreach, inform_public_policy, io_education, operational_integration_use, research_advancement","elementary_school_children, families, general_public, middle_school_children, targeted_group, teens",,"biology, education, nature_outdoors","true
",,,701-623-4466,amy_mccann@nps.gov,,,,,,Department of Interior: National Park Service,Amy McCann,"classification_tagging, data_analysis, data_entry, finding_entities, identification, learning, observation, site_selection_description, specimen_sample_collection",Theodore Roosevelt National Park,2016-06-24,complete,"BioBlitz, Citizen Science",Theodore Roosevelt National Park will focus on finding and identifying as many small mammals and vegetation as possible in the Peaceful Valley Ranch over a 24 hour time frame.,http://www.nature.nps.gov/biology/biodiversity/bioblitz2016.cfm,2016 National Parks BioBlitz - Theodore Roosevelt
21,0101000020E610000071E65773805054C01EFE9AAC51773D40,,,,,,,"john.mclaughlin@noaa.gov
",noaa,John McLaughlin,,,,true,,true,noaa,"college_university, formal_nonprofit_ngo, k12_education, other, state_local_govermment","community_engagement_outreach, io_education, inform_public_policy","general_public, middle_school_children, seniors, teens",195,"ecology_environment, nature_outdoors, ocean_water",true,2015-09-14 17:01:51.038079+00,2015-09-11 12:27:42.229375+00,386-437-7464,mpmcg@ufl.edu,32110,FL,Bunnell,,150 Sawgrass Road,University of Florida/Florida Sea Grant,Maia McGuire,"data_entry, observation, other, sample_analysis, specimen_sample_collection",Local,2015-09-01,active,"microplastic, marine, water,","Citizen scientists are collecting coastal water samples and filtering them to look for the presence of microplastics (using a microscope). They are also helping to educate stakeholders about the sources of and problems caused by microplastics in order to encourage people to read labels to avoid purchasing plastics when non-plastic alternatives are available, and to recycle/reuse as much as possible.",http://www.plasticaware.org,Florida Microplastic Awareness Project
24,0101000020E6100000C0CFB870205C58C00D897B2C7D9C4140,,"To use the app, reporters select the type of weather that is occurring, and tap submit. These anonymous reports can be submitted as often as every minute.",,,,,,,,,,,true,,false,noaa,,"operational_integration_use, research_advancement","elementary_school_children, families, middle_school_children, general_public, seniors, teens",81,"climate_weather, nature_outdoors",true,2015-09-14 17:01:51.038079+00,2015-03-30 18:38:00.304169+00,,kim.elmore@noaa.gov,,OK,Norman,,,NOAA,Kim Elmore,,National,2006,active,"Weather, Climate, Meteorology, Public Participation","The NOAA National Severe Storms Laboratory (NSSL) is collecting public weather reports through a free app available for smart phones or mobile devices. The app is called mPING for Meteorological Phenomena identification Near the Ground. Weather radars cannot access data at the ground, so mPING reports are used by the NOAA National Weather Service to fine-tune their forecasts. NSSL uses the data in a variety of ways, including to develop new radar and forecasting technologies and techniques.",http://www.nssl.noaa.gov/projects/ping/,Meterologial Phenomena identification Near the Ground (mPING)
19,0101000020E6100000C6A70018CFBC62C06B48DC63E99B4E40,"Relay hazard information about ashfall to the National Weather Service (NWS) and Alaska Department of Environmental Conservation (DEC) air quality and drinking water divisions, as well as the Alaska Department of Health for inclusion in their hazard notifications to the public
","The area over which ash can fall is large, and ash-fall deposits can be ephemeral. Timely access is often difficult. Locals are ideally positioned to make observations and collect samples. The two primary tasks to the public are: (1) Making observations about ashfall, including date and time of ashfall, location, and positive or negative ashfall; and (2) Sampling ashfall and sending samples to the Alaska Volcano Observatory (AVO). These samples help scientists understand the composition, volume, and dispersal pattern of ash from volcanoes.
","General public but we only want volunteers that see ash falling during times of eruptions.
",,,"People that observe the effect of ash falling from a volcano and can share first-person accounts. AVO staff also enter reports called into the office or are emailed via the USGS website or Facebook account.
",sophialiu@usgs.gov,usgs,Sophia B. Liu,,true,"State of Alaska Division of Geological & Geophysical Surveys, University of Alaska Fairbanks
",true,,true,usgs,"college_university, state_local_govermment","community_engagement_outreach, io_education, operational_integration_use, research_advancement","general_public, targeted_group",101,"geology_earth_science, nature_outdoors, disaster_response",true,2015-09-14 17:01:51.038079+00,2015-03-30 20:15:18.800027+00,907-786-7109,kwallace@usgs.gov,99508,AK,Anchorage,,4210 University Drive,USGS,Kristi Wallace,"observation, identification, measurement, data_entry, site_selection_description, classification_tagging, geolocation,specimen_sample_collection, learning",Regional,2013-05-10,active,"volcanic ash, ashfall, volcanoes","Is Ash Falling? project is a database module and web interface allowing the public and Alaska Volcano Observatory (AVO) staff to enter reports of ashfall in their local area in real time and retrospectively following an eruptive event. Users browsing the AVO website during eruptions will be directed towards a web form allowing them to fill in ashfall information and submit the information to AVO. The ashfall report database will help AVO track eruption clouds and associated fallout downwind. These reports from the public will also give scientists a more complete record of the amount and duration and other conditions of ash fall. First-hand accounts of ashfall will support ashfall model development and interpretation of satellite imagery and will improve ashfall warning messages. The online form will also free up resources during exceedingly busy times during an eruption, as most individuals currently phone AVO with their reports.
",http://www.avo.alaska.edu/ashfall/ashreport.php,"Is Ash Falling?
"
62,0101000020E6100000AAB706B64A3653C0CD920035B58C4340,"Regulation and Decision making support - The survey's data are routinely used to identify at-risk bird species and inform avian conservation planning.
","Volunteers are asked to perform annual bird counts at pre-established locations during the height of the breeding season in order to monitor changes in population abundance. Volunteers use standardized, scientifically rigorous counting procedures. Each summer more than 2,000 skilled participants conduct point-counts at over 150,000 locations.
","This project seeks individuals with excellent hearing who have the demonstrated ability to identify all locally occurring birds by both sound and sight. New BBS participants must also successfully complete the BBS Methodology Training Program before their data will be used in any BBS analyses. 
",,,"Individuals with excellent hearing who have the demonstrated ability to identify all locally occurring birds by both sound and sight
","sophialiu@usgs.gov
",usgs,Sophia B Liu,,true,"Alaska Department of Fish and Game, Alabama Department of Conservation and Natural Resources, Arizona Game and Fish Department, California Department of Fish and Wildlife, Florida Fish and Wildlife Conservation Commission, Georgia Department of Natural Resources, Idaho Department of Fish and Game, Illinois Natural History Survey, Indiana Division of Fish and Wildlife, Kansas Biological Survey, Louisiana Department of Wildlife and Fisheries, Maryland Department of Natural Resources, Missouri Department of Conservation, Nebraska Game and Parks Commission, Nevada Department of Wildlife, New Jersey Fish and Wildlife, New York Department of Natural Resources, Ohio Department of Natural Resources, South Carolina Department of Natural Resources, Tennessee Valley Authority, Texas Parks and Wildlife Administration, Utah Division of Wildlife Resources, Virginia Department of Game and Inland Fisheries, West Virginia Department of Natural Resources, Wyoming Game and Fish Department
",true,"(CAN) Environment and Climate Change Canada, (MEX) National Commission for Knowledge and Use of Biodiversity
",true,"usgs, fish_wildlife_service, bureau_land_management_blm, doa, nps","college_university, community_group, formal_nonprofit_ngo, k12_education, state_local_govermment","community_engagement_outreach, io_education, operational_integration_use, inform_public_policy, regulation, research_advancement","targeted_group, general_public",110,"animals, biology, birds, ecology_environment, education, nature_outdoors",true,2015-09-14 17:01:51.038079+00,2015-03-30 21:13:47.609573+00,301-497-5753,dziolkowski@usgs.gov,20708,MD,Laurel,"12100 Beech Forest Rd.
","USGS Patuxent Wildlife Research Center - BBS
",USGS,"Dave Ziolkowski, Jr.","data_entry, geolocation, identification, learning, measurement, observation ","United States, Canada, Mexico
",1966,active,"Animal count, Animal survey, Avian biology, Animal survey, Biogeography, Biology, Birds, Bird abundance, Bird community, Bird count, Bird data, Bird diversity, Bird survey, Citizen science, Ecology, Hierarchical model, Index to abundance, Index survey, Ornithology, Point count, Population dynamics, Population increase, Population decline, Population change, Population modeling, Population trends, Range map, Relative abundance, Trend analysis, Wildlife count, Wildlife survey
","North American Breeding Bird Survey
","http://www.pwrc.usgs.gov/bbs
","North American Breeding Bird Survey
"
30,0101000020E6100000103B53E8BC7658C00AD7A3703D4A3140,,,general,,,,amy.p.kaminski@nasa.gov,nasa,Amy Kaminski,,true,,true,,true,"nasa, noaa",,"inform_public_policy, research advancement",,206,"ocean_water, ecology_environment, health_medicine, biology, animals, nature_outdoors

","true
",2015-09-16 18:38:36.000986+00,2015-09-15 22:00:33.030269+00,831-459-4098,clrander@ucsc.edu,95064,CA,Santa Cruz,1156 High St.,"University of California, Santa Cruz","University of California, Santa Cruz",Clarissa Anderson,"finding_entities, geolocation, observation",Regional,2013-12-31,active,"Harmful algal blooms, Pseudo-nitzschia, domoic acid, ecological forecasting, red tides, crowdsourcing","This project involves development of California HAB forecasting application to inform when and where toxic blooms of algae occur to better inform management decisions. The project generates nowcast and forecast products routinely and in a pre-transitional demonstration of operational predictions of toxigenic blooms and domoic acid toxins along the central California coast by merging: 1) ecological/statistical models to 2) existing hydrodynamic model simulations (ROMS), 3) enhanced satellite imagery (MODIS-Aqua with DINEOF), 4) and community (Cal-HABMAP)/crowdsourced (JellyWatch and Marine Mammal Center) observations. Highly reliable data on marine mammal strandings from domoic acid (DA) toxicosis are provided by the Marine Mammal Center (TMMC) and serve as an important source of matchups for broad geographic attribution of the DA events. These near real-time validation data are provided by our collaboration with the JellyWatch and TempBreak communities to populate crowdsourced observations with marine mammal stranding data that serve as a proxy for offshore DA events. A close partnership has been established with NOAA’s National Ocean Service (NOS) and the National Weather Service (NWS) to test the new data product in an environment suited towards serving as the operational center.",http://www.cencoos.org/data/models/habs,Forecasting Harmful Algal Blooms in California
